ma,year,MAR,NI,DR_SYNCH,MCAP,LEV,M/B,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
ADC,2023,0.043058341,0.196576212,4,25.04846791,0.519049642,0.96857187,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ADG,2020,0.064823104,0.080433756,6,27.5552379,0.460264533,3.8595517,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ADG,2021,-0.236467082,0.041709895,7,26.94226374,0.400684599,1.863777081,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ADG,2022,-0.26879021,0.104903767,8,27.39124396,0.207452693,2.422986128,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ADG,2023,-0.450686626,0.028269396,1,26.73543445,0.230554511,1.179677932,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ADP,2016,0.535592013,0.349178659,3,26.85622435,0.304695207,2.276114752,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2017,-0.391409771,0.102737697,2,26.36737763,0.300265112,1.299207217,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2018,0.260655981,0.109209371,1,26.27043569,0.234727182,1.170128864,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2019,-0.164635883,0.161626262,1,26.78723148,0.216072134,1.870270613,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2020,0.170741173,0.18228956,2,26.70926993,0.186015068,1.482099667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ADP,2021,0.019614611,0.124637744,6,26.75213988,0.159745654,1.493342847,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ADP,2022,-0.146840992,0.096439326,4,26.77826189,0.234774425,1.553705113,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ADP,2023,-0.059346027,0.138265869,2,27.05096751,0.246869487,1.94946879,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ADS,2016,0.406488966,,6,26.43380977,0.797361463,1.178075641,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
