ma,year,BIG4,LEV,M/B,SALES,SHRINC,LOSS,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
AGG,2022,1,0.754416204,1.133842999,6.18863E+12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AGG,2023,1,0.690519935,0.709090155,3.89105E+12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AGM,2016,1,0.528003435,0.452511424,1.90192E+12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2017,1,0.499229755,0.53324481,2.25398E+12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2018,1,0.316385756,0.496905518,2.07331E+12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2019,1,0.428331552,0.573178277,2.11965E+12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2020,1,0.421377786,1.32681437,1.96018E+12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2021,1,0.740005171,0.280923219,3.92484E+12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AGM,2022,0,0.815274889,0.391406816,3.42985E+12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AGM,2023,0,0.982356369,3.251998371,7.87964E+11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ALT,2016,0,0.084117015,0.372071741,1.29105E+11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2017,0,0.084697872,0.369202475,1.4459E+11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2018,0,0.157590108,0.320960777,1.56506E+11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2019,0,0.121330195,0.295216348,2.01552E+11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2020,0,0.269269833,0.580473467,1.92422E+11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2021,0,0.222704479,0.43929346,2.22964E+11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ALT,2022,0,0.297920352,0.42508586,2.61516E+11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ALT,2023,0,0.325017669,0.405820888,3.03731E+11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
AMC,2016,0,0.407589407,1.39746752,1.66389E+11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2017,0,0.429780949,1.08390336,1.47497E+11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2018,0,0.454032448,1.093164327,1.44586E+11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2019,0,0.466673439,0.953245671,1.39176E+11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2020,0,0.477264174,1.423779497,1.53539E+11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2021,0,0.411024487,1.273334341,1.57804E+11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AMC,2022,0,0.332605171,1.311748353,1.65171E+11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AMC,2023,0,0.346710557,0.968686986,1.46863E+11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AME,2016,0,0.695288199,0.537016034,4.07804E+11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2017,0,0.720513317,1.269833925,7.6122E+11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2018,0,0.753086018,0.459742447,7.96016E+11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2019,0,0.725930466,0.654188254,1.00926E+12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2020,0,0.842658502,1.212951353,1.41078E+12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
